product_id,title,price,category
1,"Innovative 24/7 website",353.15,beauty
2,"Triple-buffered full-range parallelism",265.63,automotive
3,"Future-proofed fresh-thinking info-mediaries",352.01,clothing
4,"Object-based leadingedge array",40.84,beauty
5,"Robust secondary customer loyalty",151.20,electronics
6,"Pre-emptive leadingedge encryption",225.38,clothing
7,"Vision-oriented systemic support",304.92,clothing
8,"Adaptive attitude-oriented info-mediaries",423.27,clothing
9,"Secured tangible hierarchy",353.01,clothing
10,"Integrated actuating approach",405.83,beauty
11,"Open-source client-server benchmark",450.46,"home & kitchen"
12,"Sharable zero tolerance initiative",224.22,books
13,"Automated logistical initiative",112.45,books
14,"Automated system-worthy open system",402.20,"home & kitchen"
15,"Grass-roots multi-tasking capability",139.22,electronics
16,"Reverse-engineered foreground benchmark",408.48,books
17,"Assimilated didactic hub",19.56,toys
18,"Automated high-level success",255.63,books
19,"Fundamental secondary migration",260.57,toys
20,"Reverse-engineered empowering help-desk",310.79,sports
21,"Multi-channeled full-range encryption",315.45,"home & kitchen"
22,"Versatile tertiary structure",80.90,clothing
23,"Integrated next generation emulation",153.28,toys
24,"Ameliorated bi-directional knowledgebase",35.45,toys
25,"Streamlined content-based toolset",66.11,clothing
26,"Inverse 5thgeneration throughput",149.67,electronics
27,"Optimized human-resource Graphical User Interface",14.37,toys
28,"Switchable encompassing customer loyalty",499.18,sports
29,"Diverse composite leverage",50.84,"home & kitchen"
30,"Integrated web-enabled emulation",193.98,"home & kitchen"
31,"Vision-oriented contextually-based workforce",140.02,beauty
32,"Compatible global implementation",393.55,beauty
33,"Open-source zero-defect support",467.83,sports
34,"Visionary fault-tolerant encoding",458.64,electronics
35,"Synergized analyzing utilization",292.74,clothing
36,"Universal incremental methodology",231.04,electronics
37,"Synchronized content-based software",132.58,clothing
38,"Adaptive analyzing hub",38.40,"home & kitchen"
39,"Team-oriented systematic matrix",424.73,"home & kitchen"
40,"Networked interactive software",306.49,clothing
41,"Function-based analyzing process improvement",152.90,beauty
42,"Implemented asymmetric productivity",7.39,beauty
43,"Fully-configurable cohesive attitude",384.89,toys
44,"Up-sized impactful Local Area Network",360.52,electronics
45,"Virtual stable neural-net",238.61,books
46,"Right-sized content-based core",26.50,"home & kitchen"
47,"Visionary multimedia artificial intelligence",85.97,clothing
48,"Upgradable contextually-based complexity",210.21,beauty
49,"Cross-group real-time hub",472.48,toys
50,"Seamless asynchronous knowledge user",210.32,automotive
51,"Re-engineered stable strategy",214.68,sports
52,"Open-architected 5thgeneration frame",340.87,automotive
53,"Cloned national archive",310.56,sports
54,"Digitized 6thgeneration moderator",79.16,automotive
55,"Automated client-driven contingency",336.71,electronics
56,"Universal needs-based info-mediaries",262.18,books
57,"Switchable discrete hierarchy",296.06,sports
58,"Right-sized zero-defect circuit",360.61,automotive
59,"Enterprise-wide real-time installation",241.75,electronics
60,"Down-sized heuristic orchestration",239.75,clothing
61,"Down-sized exuding approach",359.89,toys
62,"Cross-group 24/7 standardization",78.72,beauty
63,"Sharable object-oriented protocol",460.25,beauty
64,"Quality-focused homogeneous application",203.10,electronics
65,"Cloned client-server knowledgebase",216.55,books
66,"Synergized coherent structure",326.11,"home & kitchen"
67,"Up-sized discrete process improvement",320.32,clothing
68,"Customer-focused tertiary throughput",319.17,sports
69,"Managed full-range standardization",406.10,toys
70,"Customizable didactic capability",92.88,sports
71,"Adaptive cohesive hierarchy",62.68,books
72,"User-centric web-enabled artificial intelligence",123.04,automotive
73,"Persistent needs-based productivity",333.80,sports
74,"Streamlined methodical pricing structure",284.28,"home & kitchen"
75,"Self-enabling uniform circuit",456.30,"home & kitchen"
76,"Right-sized composite complexity",378.14,clothing
77,"Profit-focused composite focus group",421.94,clothing
78,"Managed modular product",12.72,sports
79,"Integrated reciprocal architecture",75.16,"home & kitchen"
80,"Seamless high-level service-desk",236.54,automotive
81,"Ergonomic even-keeled archive",402.23,beauty
82,"Streamlined systematic attitude",44.20,clothing
83,"Streamlined client-server projection",419.69,books
84,"Vision-oriented heuristic workforce",109.26,electronics
85,"Open-source system-worthy challenge",228.11,sports
86,"Public-key empowering portal",103.43,"home & kitchen"
87,"Balanced 3rdgeneration service-desk",76.29,clothing
88,"Horizontal human-resource definition",177.30,automotive
89,"Persistent homogeneous pricing structure",407.48,sports
90,"Object-based global approach",439.86,toys
91,"Advanced mission-critical orchestration",383.76,sports
92,"Virtual composite data-warehouse",407.21,beauty
93,"Multi-lateral tertiary productivity",274.61,electronics
94,"Visionary zero administration initiative",257.59,electronics
95,"Open-source disintermediate capacity",497.70,clothing
96,"Down-sized next generation Graphic Interface",378.74,sports
97,"Upgradable stable moratorium",331.85,"home & kitchen"
98,"Distributed system-worthy frame",199.76,toys
99,"Customizable zero administration budgetary management",310.15,books
100,"Fully-configurable national core",386.27,clothing
101,"Streamlined bi-directional task-force",105.86,sports
102,"Operative impactful methodology",490.71,clothing
103,"Advanced hybrid flexibility",114.51,toys
104,"Customer-focused bi-directional array",151.40,"home & kitchen"
105,"Operative client-server Local Area Network",453.30,sports
106,"Synchronized heuristic orchestration",154.16,books
107,"Self-enabling contextually-based methodology",202.70,clothing
108,"Vision-oriented motivating data-warehouse",55.77,toys
109,"Progressive secondary budgetary management",244.95,sports
110,"Persistent local synergy",203.44,toys
111,"Monitored human-resource paradigm",310.01,beauty
112,"Multi-channeled object-oriented website",216.91,"home & kitchen"
113,"Up-sized responsive alliance",300.46,toys
114,"Implemented stable portal",343.20,electronics
115,"Right-sized systemic time-frame",61.22,sports
116,"Cross-group fresh-thinking moderator",492.52,toys
117,"Automated bi-directional intranet",13.77,"home & kitchen"
118,"Function-based leadingedge support",193.20,clothing
119,"Optimized logistical model",488.90,beauty
120,"Ameliorated eco-centric solution",193.87,books
121,"Distributed web-enabled projection",383.54,books
122,"Networked neutral productivity",236.59,clothing
123,"Inverse local projection",63.04,books
124,"Team-oriented grid-enabled methodology",316.52,"home & kitchen"
125,"Decentralized 3rdgeneration moratorium",92.31,books
126,"Programmable well-modulated framework",427.13,books
127,"Horizontal full-range orchestration",339.91,automotive
128,"Managed hybrid access",408.82,sports
129,"Managed transitional project",27.64,clothing
130,"Grass-roots heuristic intranet",275.82,electronics
131,"Cloned asymmetric flexibility",182.66,books
132,"Fully-configurable bi-directional time-frame",48.37,books
133,"Compatible composite hardware",27.05,beauty
134,"Optimized systematic core",422.46,toys
135,"Re-engineered scalable support",96.88,toys
